<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19941024,000000,5.57738,5.57738,5.57738,5.57738,61468.485563907,0
CDR,D,19941025,000000,5.6528,5.6528,5.6528,5.6528,47491.80817052,0
CDR,D,19941026,000000,5.68121,5.68121,5.68121,5.68121,118063.21865234,0
CDR,D,19941027,000000,5.37922,5.37922,5.37922,5.37922,33182.737625302,0
CDR,D,19941028,000000,5.26589,5.26589,5.26589,5.26589,29076.823433692,0
CDR,D,19941102,000000,5.79444,5.79444,5.79444,5.79444,42983.789193413,0
CDR,D,19941103,000000,5.73772,5.73772,5.73772,5.73772,17727.971535476,0
CDR,D,19941104,000000,5.71892,5.71892,5.71892,5.71892,46481.49463912,0
CDR,D,19941107,000000,5.68121,5.68121,5.68121,5.68121,36418.771866376,0
CDR,D,19941108,000000,5.68121,5.68121,5.68121,5.68121,20995.325496023,0
CDR,D,19941109,000000,5.70001,5.70001,5.70001,5.70001,54419.52805533,0
CDR,D,19941110,000000,5.70001,5.70001,5.70001,5.70001,46626.979787641,0
CDR,D,19941114,000000,5.68121,5.68121,5.68121,5.68121,38638.430694862,0
CDR,D,19941115,000000,5.26589,5.26589,5.26589,5.26589,43692.018978924,0
CDR,D,19941116,000000,5.26589,5.26589,5.26589,5.26589,73632.660481963,0
CDR,D,19941117,000000,5.16216,5.16216,5.16216,5.16216,23595.872525847,0
CDR,D,19941118,000000,5.46415,5.46415,5.46415,5.46415,46740.134903158,0
CDR,D,19941121,000000,4.90739,4.90739,4.90739,4.90739,18580.676155977,0
CDR,D,19941122,000000,4.43545,4.43545,4.43545,4.43545,59450.889441702,0
CDR,D,19941123,000000,4.49207,4.49207,4.49207,4.49207,33476.738862939,0
CDR,D,19941124,000000,4.47317,4.47317,4.47317,4.47317,22995.746288195,0
CDR,D,19941125,000000,4.49207,4.49207,4.49207,4.49207,14306.039604624,0
CDR,D,19941128,000000,4.90739,4.90739,4.90739,4.90739,36300.565183202,0
CDR,D,19941129,000000,5.39803,5.39803,5.39803,5.39803,84656.191423069,0
CDR,D,19941130,000000,5.85105,5.85105,5.85105,5.85105,76341.311059647,0
CDR,D,19941201,000000,5.81324,5.81324,5.81324,5.81324,81638.384904777,0
CDR,D,19941202,000000,5.21878,5.21878,5.21878,5.21878,50764.213698724,0
CDR,D,19941205,000000,5.48295,5.48295,5.48295,5.48295,36356.132427429,0
CDR,D,19941206,000000,5.36032,5.36032,5.36032,5.36032,35878.254127077,0
CDR,D,19941207,000000,5.48295,5.48295,5.48295,5.48295,91404.075499289,0
CDR,D,19941208,000000,4.92619,4.92619,4.92619,4.92619,0,0
CDR,D,19941209,000000,4.49207,4.49207,4.49207,4.49207,38928.390678373,0
CDR,D,19941212,000000,4.86958,4.86958,4.86958,4.86958,65232.913781904,0
CDR,D,19941213,000000,4.69023,4.69023,4.69023,4.69023,34297.113450436,0
CDR,D,19941214,000000,4.5959,4.5959,4.5959,4.5959,56068.359738574,0
CDR,D,19941215,000000,4.69023,4.69023,4.69023,4.69023,21626.771453148,0
CDR,D,19941216,000000,5.14325,5.14325,5.14325,5.14325,79914.790020209,0
CDR,D,19941219,000000,5.06783,5.06783,5.06783,5.06783,29564.804869358,0
CDR,D,19941220,000000,5.01112,5.01112,5.01112,5.01112,27936.179456741,0
CDR,D,19941221,000000,4.92619,4.92619,4.92619,4.92619,15276.950908299,0
CDR,D,19941222,000000,5.06783,5.06783,5.06783,5.06783,11280.150578081,0
CDR,D,19941223,000000,5.06783,5.06783,5.06783,5.06783,16651.987624535,0
CDR,D,19941227,000000,5.02992,5.02992,5.02992,5.02992,15954.871287869,0
CDR,D,19941228,000000,4.86958,4.86958,4.86958,4.86958,17712.816832505,0
CDR,D,19941229,000000,4.90739,4.90739,4.90739,4.90739,21373.182756767,0
CDR,D,19950102,000000,5.39803,5.39803,5.39803,5.39803,83134.65924478,0
CDR,D,19950103,000000,5.12445,5.12445,5.12445,5.12445,57659.603550529,0
CDR,D,19950104,000000,5.26589,5.26589,5.26589,5.26589,23372.593235408,0
CDR,D,19950105,000000,5.37922,5.37922,5.37922,5.37922,22674.46658521,0
CDR,D,19950106,000000,5.10554,5.10554,5.10554,5.10554,16260.996287883,0
CDR,D,19950109,000000,5.21878,5.21878,5.21878,5.21878,12830.98184878,0
CDR,D,19950110,000000,5.21878,5.21878,5.21878,5.21878,43841.545381572,0
CDR,D,19950111,000000,5.24708,5.24708,5.24708,5.24708,27941.231024398,0
CDR,D,19950112,000000,5.3037,5.3037,5.3037,5.3037,19428.329208822,0
CDR,D,19950113,000000,5.37922,5.37922,5.37922,5.37922,40139.756602522,0
CDR,D,19950116,000000,5.32261,5.32261,5.32261,5.32261,12120.731436206,0
CDR,D,19950117,000000,5.26589,5.26589,5.26589,5.26589,26409.595710796,0
CDR,D,19950118,000000,5.18097,5.18097,5.18097,5.18097,30576.12871429,0
CDR,D,19950119,000000,5.26589,5.26589,5.26589,5.26589,9691.9377067202,0
CDR,D,19950120,000000,5.24708,5.24708,5.24708,5.24708,15544.68399412,0
CDR,D,19950123,000000,5.06783,5.06783,5.06783,5.06783,27540.136552433,0
CDR,D,19950124,000000,4.79406,4.79406,4.79406,4.79406,19834.475248445,0
